Fecha		Codigo		Variacion Mensual
2023-02		Regulados		5.1
2023-03		Estacional		9.3
2023-03		Núcleo		7.2
2023-03		Regulados		8.3
2023-04		Estacional		12.6
2023-04		Núcleo		8.4
2023-04		Regulados		4.9
2023-05		Estacional		6.0
2023-05		Núcleo		7.8
2023-05		Regulados		9.0
2023-06		Estacional		1.8
2023-06		Núcleo		6.5
2023-06		Regulados		7.2
2023-07		Estacional		5.1
2023-07		Núcleo		6.5
2023-07		Regulados		6.7
2023-08		Estacional		10.7
2023-08		Núcleo		13.8
2023-08		Regulados		8.3
2023-09		Estacional		14.7
2023-09		Núcleo		13.4
2023-09		Regulados		8.3
2023-10		Estacional		7.6
2023-10		Núcleo		8.8
2023-10		Regulados		6.6
2023-11		Estacional		12.8
2023-11		Núcleo		13.4
2023-11		Regulados		10.1
2023-12		Estacional		16.2
2023-12		Núcleo		28.3
2023-12		Regulados		20.7
2024-01		Estacional		16.2
2024-01		Núcleo		20.2
2024-01		Regulados		26.6
2024-02		Estacional		8.7
2024-02		Núcleo		12.3
2024-02		Regulados		21.1
2024-03		Estacional		11.1
2024-03		Núcleo		9.4
2024-03		Regulados		18.1
2024-04		Estacional		9.9
2024-04		Núcleo		6.3
2024-04		Regulados		18.4
2024-05		Estacional		7.2
2024-05		Núcleo		3.7
2024-05		Regulados		4.0
2024-06		Estacional		4.4
2024-06		Núcleo		3.7
2024-06		Regulados		8.1
2024-07		Estacional		5.1
2024-07		Núcleo		3.8
2024-07		Regulados		4.3
2024-08		Estacional		1.5
2024-08		Núcleo		4.1
2024-08		Regulados		5.9
2024-09		Estacional		2.9
2024-09		Núcleo		3.3
2024-09		Regulados		4.5
2024-10		Estacional		1.4
2024-10		Núcleo		2.9
2024-10		Regulados		2.7
2024-11		Estacional		-1.2
2024-11		Núcleo		2.7
2024-11		Regulados		3.5
2024-12		Estacional		-1.4
2024-12		Núcleo		3.2
2024-12		Regulados		3.4
2025-01		Estacional		0.4
2025-01		Núcleo		2.4
2025-01		Regulados		2.6
2025-02		Estacional		-0.8
2025-02		Núcleo		2.9
2025-02		Regulados		2.3
2025-03		Estacional		8.4
2025-03		Núcleo		3.2
2025-03		Regulados		3.2
2025-04		Estacional		1.9
2025-04		Núcleo		3.2
2025-04		Regulados		1.8
2025-05		Estacional		-2.7
2025-05		Núcleo		2.2
2025-05		Regulados		1.3
2025-06		Estacional		-0.2
2025-06		Núcleo		1.7
2025-06		Regulados		2.2
2025-07		Estacional		4.1
2025-07		Núcleo		1.5
2025-07		Regulados		2.3
